"CE Implementados","","","","","","","","","","","",""
"126","103674-00","3579","CALLE UNO","LIMON","POCOCI","1022491122","-8376529335","CAT 2","12","1/30/2025","IMPLEMENTADO","27106487(100Mbps-FO)"
"127","104014-00","3943","LICEO LUIS DOBLES SEGREDA","SAN JOSE","SAN JOSE","993464271","-8409881554","CAT 5","7","1/30/2025","IMPLEMENTADO","17300154(200Mbps-FO)"
"128","104044-00","3980","LICEO HERNÁN ZAMORA ELIZONDO","SAN JOSE","MORAVIA","998290464","-8402266122","CAT 4","3","1/30/2025","IMPLEMENTADO","17343121(200Mbps-FO)"
"129","104046-00","3983","LICEO DE CALLE FALLAS","SAN JOSE","DESAMPARADOS","989159708","-8407111188","CAT 4","5","1/30/2025","IMPLEMENTADO","17304192(100Mbps-FO), 17885674(2Mbps-ADSL)"
"130","104109-00","4058","LICEO DE COT","CARTAGO","OREAMUNO","989203733","-8387073209","CAT 4","25","1/30/2025","IMPLEMENTADO","17309491(200Mbps-FO)"
"131","104110-00","4059","LICEO SAN DIEGO","CARTAGO","LA UNION","990140857","-840009369","CAT 4","5","1/31/2025","IMPLEMENTADO","17300262(50Mbps-FO)"
"132","104130-00","4082","LICEO MARIO VINDAS SALAZAR","HEREDIA","SAN PABLO","999806125","-8409545265","CAT 4","7","1/30/2025","IMPLEMENTADO","17307182(60Mbps-FO)"
"133","101286-00","1101","CALLE LILES","ALAJUELA","POAS","1011529613","-8424340021","CAT 2","7","1/31/2025","IMPLEMENTADO","17370895(25Mbps-SATELITAL), 24483893(100Mbps-FO)"
"134","101397-00","1213","ALICE MOYA RODRÍGUEZ","ALAJUELA","GRECIA","999896894","-8439692477","CAT 2","15","1/28/2025","IMPLEMENTADO","17300811(200Mbps-FO), 17676164(200Mbps-FO), 17676165(200Mbps-FO)"
"135","104135-00","4087","EXPERIMENTAL BILINGUE DE BELÉN","HEREDIA","BELEN","997500223","-8418735973","CAT 5","1","1/31/2025","IMPLEMENTADO","17343151(100Mbps-FO), 17421426(100Mbps-FO), 17421430(100Mbps-FO), 17667096(100Mbps-FO), 17754220(100Mbps-FO)"
"136","104165-00","4118","LICEO DE MIRAMAR","PUNTARENAS","MONTES DE ORO","1008768054","-8473154042","CAT 4","28","1/31/2025","IMPLEMENTADO","17331531(200Mbps-FO)"
"137","104183-00","4137","LICEO LA ALEGRÍA","LIMON","SIQUIRRES","1008854211","-8359878636","CAT 3","2","1/31/2025","IMPLEMENTADO","17309641(50Mbps-FO)"
"138","104263-00","4224","C.T.P. VALLE LA ESTRELLA","LIMON","LIMON","973711119","-8296096104","CAT 4","6","1/31/2025","IMPLEMENTADO","17344411(120Mbps-FO), 22002908(6Mbps-LTE)"
"139","104336-00","4896","NOCTURNO DE QUEPOS","PUNTARENAS","QUEPOS","945162576","-8416633996","","5","1/31/2025","IMPLEMENTADO","17635718(300Mbps-FO), 27772384(4Mbps-ADSL)"
"140","104346-00","4930","ESCUELA DE DOMINGO FAUTINO SARMIENTO","SAN JOSE","ASERRI","985419181","-8409181387","","4","1/31/2025","IMPLEMENTADO","17300076(70Mbps-FO)"
"141","100591-00","383","LOS ÁNGELES","SAN JOSE","GOICOECHEA","99656659","-8401832705","CAT 4","1","2/3/2025","IMPLEMENTADO","17751139(100Mbps-FO)"
"142","100746-00","546","PRAGA","SAN JOSE","ASERRI","981929014","-8411059331","CAT 3","1","2/3/2025","IMPLEMENTADO","17370649(25Mbps-SATELITAL), 17416254(10Mbps-ADSL)"
"143","101377-00","1193","ERMIDA BLANCO GONZÁLEZ","ALAJUELA","ALAJUELA","1008492754","-8420882655","CAT 3","9","2/3/2025","IMPLEMENTADO","17331661(100Mbps-FO)"
"144","101490-00","1308","JULIÁN VOLIO LLORENTE","ALAJUELA","SAN RAMON","1012694194","-8445574041","CAT 3","1","2/3/2025","IMPLEMENTADO","17370913(25Mbps-SATELITAL), 17620746(100Mbps-FO)"
"145","104052-00","3991","LICEO SAN GABRIEL DE ASERRÍ","SAN JOSE","ASERRI","97864392","-8410315284","CAT 4","3","12/18/2024","IMPLEMENTADO","17370676(25Mbps-SATELITAL)"
"146","100545-00","336","LEÓN XIII","SAN JOSE","TIBAS","996051217","-8409835411","CAT 5","1","12/19/2024","IMPLEMENTADO","17346801(200Mbps-FO)"
"147","100558-00","349","JOSÉ ÁNGEL VIETO RANGEL","SAN JOSE","CURRIDABAT","992684553","-8401360937","CAT 3","1","1/28/2025","IMPLEMENTADO","17329591(100Mbps-FO)"
"148","100689-00","488","J.N. MARÍA JIMÉNEZ UREÑA","SAN JOSE","DESAMPARADOS","989976843","-840671763","CAT 3","1","1/21/2025","IMPLEMENTADO","17327662(100Mbps-FO), 17457473(100Mbps-FO)"
"149","100756-00","557","MIXTA SAN CRISTÓBAL SUR","SAN JOSE","DESAMPARADOS","974909607","-8402616772","CAT 2","1","2/12/2025","IMPLEMENTADO","17312417(25Mbps-SATELITAL), 25440956(7Mbps-ADSL)"
"150","100794-00","595","SOR MARÍA ROMERO MENESES","SAN JOSE","DESAMPARADOS","987653899","-8406869897","CAT 3","10","2/4/2025","IMPLEMENTADO","17337761(50Mbps-FO), 17619750(10Mbps-ADSL), 17751183(10Mbps-ADSL)"
"151","101780-00","1604","LA GLORIA","ALAJUELA","SAN CARLOS","1053508989","-8433340477","CAT 3","1","2/4/2025","IMPLEMENTADO","17313153(25Mbps-SATELITAL)"
"152","102693-00","2539","EL LLANO","GUANACASTE","SANTA CRUZ","1036167895","-857474199","CAT 3","1","2/4/2025","IMPLEMENTADO","26536094(6Mbps-ADSL)"
"153","101379-00","1195","SABANA LARGA","ALAJUELA","ATENAS","99755976","-8440047879","CAT 2","1","2/6/2025","IMPLEMENTADO","17752992(100Mbps-FO)"
"154","101595-00","1413","LA TROCHA","ALAJUELA","LOS CHILES","1101731336","-8453834537","CAT 3","1","2/6/2025","IMPLEMENTADO","PENDIENTE"
"155","101702-00","1524","LOS ALPES","ALAJUELA","SAN CARLOS","1035451815","-8429261227","CAT 2","1","2/6/2025","IMPLEMENTADO","24721525(1Mbps-ADSL)"
"156","102261-00","2096","MANUEL CAMACHO HERNÁNDEZ","HEREDIA","SAN RAFAEL","1001020966","-8409635395","CAT 3","1","2/6/2025","IMPLEMENTADO","17352701(30Mbps-FO)"
"157","102292-00","2127","COLONIA ISIDREÑA","HEREDIA","SAN ISIDRO","1000567276","-8405315816","CAT 3","1","2/6/2025","IMPLEMENTADO","17348521(35Mbps-FO)"
"158","104198-00","4156","CTP COMERCIAL Y SERVICIOS","SAN JOSE","SAN JOSE","992907987","-8410515173","CAT 5","","2/6/2025","IMPLEMENTADO","17330322(200Mbps-FO)"
"159","102419-00","2254","MAQUENCAL","GUANACASTE","LA CRUZ","110826571","-8539605506","CAT 2","1","12/13/2024","IMPLEMENTADO","22006725(6Mbps-LTE), 83174727(5Mbps-Móvil)"
"160","102456-00","2293","SALVADOR VILLAR MUÑOZ","GUANACASTE","LA CRUZ","1107713987","-8563144203","CAT 4","15","2/7/2025","IMPLEMENTADO","17343231(300Mbps-FO)"
"161","102684-00","2530","PORTEGOLPE","GUANACASTE","SANTA CRUZ","1034522559","-8573302406","CAT 3","1","2/7/2025","IMPLEMENTADO","17312385(100Mbps-FO)"
"162","103009-00","2874","TAJO ALTO","PUNTARENAS","MONTES DE ORO","1013108344","-8472396831","CAT 1","1","12/13/2024","IMPLEMENTADO","17351341(80Mbps-FO), 26392004(6Mbps-ADSL)"
"163","103213-00","3090","LA MONA","PUNTARENAS","GOLFITO","860020803","-8308967105","CAT 3","1","2/7/2025","IMPLEMENTADO","17395891(30Mbps-FO)"
"164","103571-00","3471","EL MILANO","LIMON","SIQUIRRES","1019020859","-8357598145","CAT 3","1","2/7/2025","IMPLEMENTADO","17370784(25Mbps-SATELITAL)"
"165","101385-00","1201","SAN JERÓNIMO","ALAJUELA","OROTINA","985668785","-845770217","CAT 2","2","2/10/2025","IMPLEMENTADO","17687747(50Mbps-FO)"
"166","102355-00","2190","NEFTALÍ VILLALOBOS GUTIÉRREZ","HEREDIA","SAN PABLO","998296261","-84101627","CAT 3","1","2/10/2025","IMPLEMENTADO","17610913(200Mbps-FO)"
"167","102368-00","2203","JESÚS ARGÜELLO VILLALOBOS","HEREDIA","SAN ISIDRO","1001843348","-8403796985","CAT 3","1","2/10/2025","IMPLEMENTADO","17382311(100Mbps-FO)"
"168","102369-00","2204","SAN LUIS GONZAGA","HEREDIA","SANTO DOMINGO","1000782694","-8403041152","CAT 3","1","2/10/2025","IMPLEMENTADO","17623167(100Mbps-FO), 17763571(100Mbps-FO)"
"169","102412-00","2247","BAJO DEL VIRILLA","HEREDIA","HEREDIA","996252216","-8411092615","CAT 2","2","2/10/2025","IMPLEMENTADO","17622586(100Mbps-FO)"
"170","103761-00","3668","SUERRE","LIMON","POCOCI","1018683398","-8375128595","CAT 3","1","2/10/2025","IMPLEMENTADO","17426402(100Mbps-FO), 17426410(100Mbps-FO)"
"171","100902-00","706","RAMÓN BEDOYA MONGE","SAN JOSE","PURISCAL","985687811","-8429953797","CAT 3","1","2/11/2025","IMPLEMENTADO","17370707(25Mbps-SATELITAL), 17408135(6Mbps-ADSL), 24161437(6Mbps-ADSL), 24167232(10Mbps-ADSL)"
"172","102729-00","2578","SAN JUAN","GUANACASTE","SANTA CRUZ","1021842249","-8555683942","CAT 3","2","2/11/2025","IMPLEMENTADO","17373941(10Mbps-FO)"
"173","103139-00","3014","LÍDER COMTE","PUNTARENAS","GOLFITO","843991125","-8303942207","CAT 3","1","2/11/2025","IMPLEMENTADO","17313923(25Mbps-SATELITAL), 22001199(6Mbps-LTE)"
"174","103705-00","3610","BUENOS AIRES SUR","LIMON","POCOCI","1017069532","-8378401262","CAT 3","1","2/11/2025","IMPLEMENTADO","17621857(100Mbps-FO)"
"175","104980-00","6479","COLEGIO DE GUÁCIMO","LIMON","GUACIMO","1021143751","-8367591744","CAT 3","5","2/11/2025","IMPLEMENTADO","17304972(100Mbps-FO)"
"176","100539-00","330","CONCEPCIÓN","SAN JOSE","ALAJUELITA","98955359","-8409381677","CAT 5","6","12/13/2024","IMPLEMENTADO","17349091(80Mbps-FO)"
"177","100554-00","345","DOCTOR FERRAZ","SAN JOSE","GOICOECHEA","994297818","-8406766972","CAT 3","1","12/16/2024","IMPLEMENTADO","17696983(10Mbps-ADSL), 17697157(10Mbps-ADSL)"
"178","100605-00","397","OMAR DENGO GUERRERO","SAN JOSE","SAN JOSE","992623514","-8408827465","CAT 4","1","2/12/2025","IMPLEMENTADO","17342751(80Mbps-FO)"
"179","102611-00","2455","SAMARA","GUANACASTE","NICOYA","988148313","-8552721926","CAT 2","1","2/12/2025","IMPLEMENTADO","17331211(15Mbps-FO), 22006167(6Mbps-LTE)"
"180","104418-00","5076","LICEO GASTÓN PERALTA CARRANZA","ALAJUELA","SAN CARLOS","1046039972","-8434461567","CAT 4","11","2/12/2025","IMPLEMENTADO","17370586(25Mbps-SATELITAL), 17456551(6Mbps-ADSL)"
"181","105064-00","6688","RÍO SAN CARLOS SECTOR ESTE","ALAJUELA","SAN CARLOS","1078347489","-8419401856","CAT 2","1","2/12/2025","IMPLEMENTADO","17357461(10Mbps-FO)"
"182","101284-00","1099","CALIFORNIA","ALAJUELA","ALAJUELA","999283477","-842009463","CAT 3","15","2/13/2025","IMPLEMENTADO","17348620(4Mbps-ADSL), 17448682(100Mbps-FO), 17567005(100Mbps-FO), 17567018(100Mbps-FO)"
"183","101718-00","1540","JUAN CHAVES ROJAS","ALAJUELA","SAN CARLOS","1032658345","-844321236","CAT 4","23","2/13/2025","IMPLEMENTADO","17313023(25Mbps-SATELITAL), 24603226(11Mbps-ADSL)"
"184","103033-00","2899","CENIZO","PUNTARENAS","CORREDORES","844467114","-829404873","CAT 2","","2/13/2025","IMPLEMENTADO","22001799(6Mbps-LTE), 27766223(2Mbps-ADSL)"
"185","104174-00","4127","EXPERIMENTAL BILINGÜE DE AGUA BUENA","PUNTARENAS","COTO BRUS","87471681","-8294854703","CAT 4","25","1/20/2025","IMPLEMENTADO","17309162(70Mbps-FO)"
"186","101550-00","1368","ZAPOTE","ALAJUELA","ZARCERO","1022452481","-8442418893","CAT 2","7","2/14/2025","IMPLEMENTADO","17370303(25Mbps-SATELITAL), 24634298(6Mbps-ADSL)"
"187","103861-00","3777","RONCADOR","PUNTARENAS","QUEPOS","941511163","-840958889","CAT 3","2","2/14/2025","IMPLEMENTADO","17357041(100Mbps-FO), 17370746(25Mbps-SATELITAL)"
"188","104039-00","3973","EXPERIMENTAL BILINGÜE LA TRINIDAD","SAN JOSE","MORAVIA","998589478","-8402565108","CAT 4","31","2/14/2025","IMPLEMENTADO","17309551(300Mbps-FO)"
"189","100626-00","421","JOSÉ FIGUERES FERRER","SAN JOSE","MONTES DE OCA","994510822","-8403343558","CAT 3","32","2/17/2025","IMPLEMENTADO","17343260(200Mbps-FO)"
"190","100878-00","682","JOSÉ MARÍA CAÑAS","SAN JOSE","MORA","983151998","-8423437879","CAT 3","1","2/17/2025","IMPLEMENTADO","17397851(15Mbps-FO)"
"191","101343-00","1158","ROGELIO SOTELA BONILLA","ALAJUELA","SAN MATEO","995968885","-8459059584","CAT 3","2","2/17/2025","IMPLEMENTADO","17436713(100Mbps-FO), 17697247(200Mbps-FO)"
"192","101440-00","1257","BAJO MATAMOROS","ALAJUELA","SAN RAMON","1010679544","-8450755394","CAT 2","2","2/17/2025","IMPLEMENTADO","17300880(10Mbps-FO), 17476846(100Mbps-FO)"
"193","101856-00","1682","SAN CAYETANO","ALAJUELA","SAN CARLOS","1037494577","-8428154664","CAT 2","2","2/17/2025","IMPLEMENTADO","17312894(25Mbps-SATELITAL), 17313208(100Mbps-FO), 24721508(2Mbps-ADSL)"
"194","102284-00","2119","LA ESPERANZA","HEREDIA","SARAPIQUI","1025611272","-8391455963","CAT 2","3","2/17/2025","IMPLEMENTADO","27641784(10Mbps-ADSL)"
"195","100627-00","422","JORGE VOLIO JIMÉNEZ","SAN JOSE","SANTA ANA","991209606","-8417876952","CAT 4","","2/18/2025","IMPLEMENTADO","17751127(100Mbps-FO)"
"196","101134-00","945","RÍO GRANDE","SAN JOSE","PEREZ ZELEDON","924409524","-836194856","CAT 3","","2/18/2025","IMPLEMENTADO","PENDIENTE"
"197","101450-00","1267","CAÑUELA","ALAJUELA","NARANJO","101419512","-8441093323","CAT 2","5","2/18/2025","IMPLEMENTADO","17363520(4Mbps-LD), 17567379(100Mbps-FO), 17986262(100Mbps-FO), 17989192(100Mbps-FO)"
"198","101489-00","1307","LA CUEVA","ALAJUELA","NARANJO","1011666207","-8442125281","CAT 3","3","2/18/2025","IMPLEMENTADO","17370914(25Mbps-SATELITAL), 17716876(10Mbps-ADSL)"
"199","101862-00","1688","PUERTO ESCONDIDO","ALAJUELA","SAN CARLOS","1046112855","-8428609854","CAT 3","13","2/18/2025","IMPLEMENTADO","17370298(25Mbps-SATELITAL), 24731367(4Mbps-ADSL), 24731369(10Mbps-ADSL)"
"200","101939-00","1766","CARRIZAL","SAN JOSE","LEON CORTES","967615184","-8405686641","CAT 2","2","2/18/2025","IMPLEMENTADO","17370324(25Mbps-SATELITAL), 17614417(6Mbps-ADSL)"
"201","102181-00","2013","EL CAS","CARTAGO","TURRIALBA","999228181","-8365880499","CAT 2","2","2/18/2025","IMPLEMENTADO","17370068(25Mbps-SATELITAL), 25590285(0,256Mbps-ADSL)"
"202","102214-00","2048","SANTA ROSA","CARTAGO","TURRIALBA","992539802","-8369702896","CAT 3","15","2/18/2025","IMPLEMENTADO","17338481(15Mbps-FO)"
"203","102380-00","2215","J.N. JUAN MORA FERNÁNDEZ","HEREDIA","SANTA BARBARA","1004167722","-841596556","CAT 3","9","2/18/2025","IMPLEMENTADO","17300671(10Mbps-FO), 17689216(100Mbps-FO), 22694051(100Mbps-FO)"
"204","103604-00","3506","CUATRO MILLAS","LIMON","MATINA","1010607346","-8325723196","CAT 3","2","2/18/2025","IMPLEMENTADO","22001903(6Mbps-LTE)"
"205","104713-00","5860","LICEO RURAL LAS NUBES CRISTO REY","ALAJUELA","LOS CHILES","1090896705","-8455249097","CAT 2","1","2/18/2025","IMPLEMENTADO","PENDIENTE"
"206","100654-00","451","J.N. JUSTO A. FACIO","SAN JOSE","SAN JOSE","992661938","-8407011364","CAT 2","","2/19/2025","IMPLEMENTADO","17831991(100Mbps-FO)"
"207","101453-00","1270","LA UNIÓN","ALAJUELA","PALMARES","1004594226","-8444114815","CAT 2","10","2/19/2025","IMPLEMENTADO","17370930(25Mbps-SATELITAL), 17569159(4Mbps-ADSL), 24530675(4Mbps-ADSL)"
"208","101522-00","1340","SALUSTIO CAMACHO MUÑOZ","ALAJUELA","ZARCERO","10209828","-8437630219","CAT 3","","2/19/2025","IMPLEMENTADO","17370934(25Mbps-SATELITAL)"
"209","101564-00","1382","AGUA AZUL","ALAJUELA","SAN CARLOS","1049670104","-8460908206","CAT 2","","2/19/2025","IMPLEMENTADO","17478812(100Mbps-FO)"
"210","103490-00","3386","SAN CLEMENTE","LIMON","LIMON","981856098","-8293625527","CAT 3","4","2/19/2025","IMPLEMENTADO","3-02924(100Mbps-FO)"
"211","103929-00","3851","FÁTIMA","ALAJUELA","UPALA","1098520179","-8518864925","CAT 3","","2/19/2025","IMPLEMENTADO","PENDIENTE"
"212","104028-00","3958","LICEO LABORATORIO EMMA GAMBOA UCR","SAN JOSE","MORAVIA","996429165","-8405419984","CAT 3","","2/19/2025","IMPLEMENTADO","17339631(30Mbps-FO)"
"213","105066-00","6714","LICEO NUEVO DE PURISICAL","SAN JOSE","PURISCAL","983623681","-8431857449","CAT 3","4","2/19/2025","IMPLEMENTADO","17370658(25Mbps-SATELITAL), 17768902(100Mbps-FO), 17768913(100Mbps-FO)"
"214","100658-00","455","CEDROS","SAN JOSE","MONTES DE OCA","994194378","-840277728","CAT 3","","2/20/2025","IMPLEMENTADO","17333911(200Mbps-FO)"
"215","100724-00","524","LA JOYA","SAN JOSE","DESAMPARADOS","98163082","-84081534","CAT 1","1","2/20/2025","IMPLEMENTADO","17312492(25Mbps-SATELITAL)"
"216","100935-00","741","LAS LOMAS","PUNTARENAS","BUENOS AIRES","91826512","-8333322679","CAT 3","3","2/20/2025","IMPLEMENTADO","PENDIENTE"
"217","101186-00","998","SANTA MARÍA","SAN JOSE","PEREZ ZELEDON","932066193","-8358342635","CAT 2","9","2/20/2025","IMPLEMENTADO","PENDIENTE"
"218","101534-00","1352","RÍO GRANDE","ALAJUELA","SAN RAMON","1007501655","-844552771","CAT 2","","2/20/2025","IMPLEMENTADO","17313048(25Mbps-SATELITAL), 17704521(100Mbps-FO)"
"219","102448-00","2285","LOS ÁNGELES","GUANACASTE","LA CRUZ","1104956047","-8540575067","CAT 2","1","2/20/2025","IMPLEMENTADO","22006697(6Mbps-LTE)"
"220","104417-00","5075","LICEO FRANCISCO AMIGUETTE HERRERA","ALAJUELA","SAN CARLOS","1036377755","-8443490176","CAT 3","","2/20/2025","IMPLEMENTADO","17370585(25Mbps-SATELITAL)"
"221","100758-00","559","CRISTÓBAL COLÓN","SAN JOSE","ACOSTA","979924684","-8416257462","CAT 3","1","2/21/2025","IMPLEMENTADO","17311795(25Mbps-SATELITAL)"
"222","103243-00","3120","DARIZARA","PUNTARENAS","CORREDORES","855603906","-828600543","CAT 3","1","2/21/2025","IMPLEMENTADO","17640917(5Mbps-ADSL)"
"223","104268-00","4229","C.T.P. DE JACÓ","PUNTARENAS","GARABITO","962776173","-846231437","","5","1/31/2025","IMPLEMENTADO","17339920(300Mbps-FO)"
"224","102436-00","2271","NUEVA GENERACIÓN","GUANACASTE","LIBERIA","1065960333","-8545570748","CAT 3","1","2/13/2025","IMPLEMENTADO","17362331(10Mbps-FO)"
"225","100573-00","364","J.N. REPÚBLICA DE PARAGUAY","SAN JOSE","SAN JOSE","991643494","-8409818785","CAT 2","2","2/27/2025","IMPLEMENTADO","17311832(25Mbps-SATELITAL), 17734770(100Mbps-FO)"
"226","102351-00","2186","PUEBLO NUEVO","HEREDIA","SARAPIQUI","1048246743","-8410653648","CAT 3","2","2/27/2025","IMPLEMENTADO","17338731(15Mbps-FO)"
"227","100848-00","652","SANTIAGO ALPÍZAR JIMÉNEZ","SAN JOSE","MORA","98712829","-8428157765","CAT 3","","3/3/2025","IMPLEMENTADO","17394731(15Mbps-FO)"
"228","101722-00","1544","LA CEIBA","ALAJUELA","SAN CARLOS","1041687714","-8444298244","CAT 3","","3/3/2025","IMPLEMENTADO","17313042(25Mbps-SATELITAL)"
"229","101812-00","1636","SAN JUAN","ALAJUELA","SAN CARLOS","1034347932","-844046155","CAT 3","","3/3/2025","IMPLEMENTADO","17370192(25Mbps-SATELITAL), 17467397(6Mbps-ADSL), 17475753(6Mbps-ADSL), 24605862(10Mbps-ADSL)"
"230","102416-00","2251","AGUA CALIENTE","GUANACASTE","BAGACES","1046828615","-8522504266","CAT 2","4","3/3/2025","IMPLEMENTADO","17370012(25Mbps-SATELITAL)"
"231","101276-00","1091","FÁTIMA","ALAJUELA","ATENAS","998825243","-8437972928","CAT 2","","3/4/2025","IMPLEMENTADO","17673477(200Mbps-FO)"
"232","101756-00","1579","LOS CHILES","ALAJUELA","SAN CARLOS","1039994412","-843374088","CAT 3","","3/4/2025","IMPLEMENTADO","17758736(100Mbps-FO)"
"233","102367-00","2202","SAN JOSÉ","HEREDIA","SAN RAFAEL","1000844276","-8411088882","CAT 3","","3/4/2025","IMPLEMENTADO","17352761(15Mbps-FO)"
"234","102664-00","2510","BENITO JUÁREZ GARCÍA","GUANACASTE","SANTA CRUZ","1022212614","-8559649216","CAT 3","","3/4/2025","IMPLEMENTADO","17693937(100Mbps-FO)"
"235","104474-00","5302","LICEO LOS ÁNGELES","ALAJUELA","SAN CARLOS","1050996234","-8430176117","CAT 3","","3/4/2025","IMPLEMENTADO","17343071(40Mbps-FO)"
"236","105035-00","6576","C.T.P. HENRI FRANÇOIS PITTIER","PUNTARENAS","COTO BRUS","892373722","-8294118958","CAT 3","1","3/6/2025","IMPLEMENTADO","17343341(200Mbps-FO), 22001149(6Mbps-LTE)"
"237","101239-00","1051","LAS BRISAS","PUNTARENAS","BUENOS AIRES","914332843","-8322235189","CAT 3","4","3/7/2025","IMPLEMENTADO","17409011(10Mbps-ADSL)"
"238","104113-00","4064","COLEGIO FRANCISCA CARRASCO JIMÉNEZ","CARTAGO","CARTAGO","985918203","-83,94161398","CAT 4","0","3/9/2025","IMPLEMENTADO","17335760(65Mbps-FO)"
"239","104026-00","3956","LICEO EDGAR CERVANTES VILLALTA","SAN JOSE","SAN JOSE","9,92003203","-84,09932397","CAT 5","","3/12/2025","IMPLEMENTADO","17314842(100Mbps-FO)"
"240","104091-00","4038","EXPERIMENTAL BILINGÜE DE NARANJO","ALAJUELA","NARANJO","10,10207037","-84,36535352","CAT 4","","3/12/2025","IMPLEMENTADO","17309242(90Mbps-FO)"
"241","104010-00","3939","LICEO ANASTASIO ALFARO","SAN JOSE","MONTES DE OCA","9,93986054","-84,05702708","CAT 4","","3/13/2025","IMPLEMENTADO","17332281(35Mbps-FO)"
"242","104023-00","3952","LICEO DE ESCAZU","SAN JOSE","ESCAZU","9,91442073","-84,13802877","CAT 5","","3/13/2025","IMPLEMENTADO","17304822(120Mbps-FO), 17751302(6Mbps-ADSL), 17763696(6Mbps-ADSL)"
"243","104056-00","3997","LICEO DE PURISCAL","SAN JOSE","PURISCAL","9,84716076","-84,31321093","CAT 4","","3/13/2025","IMPLEMENTADO","17396981(120Mbps-FO)"
"244","104126-00","4077","LICEO ING. SAMUEL SAÉNZ FLORES","HEREDIA","HEREDIA","9,99842886","-84,12895397","CAT 5","","3/13/2025","IMPLEMENTADO","17335711(100Mbps-FO)"
"245","104129-00","4080","LICEO ING. CARLOS PASCUA ZÚÑIGA","HEREDIA","SAN RAFAEL","10,01054389","-84,09954056","CAT 4","1","3/13/2025","IMPLEMENTADO","17346301(100Mbps-FO)"
"246","104222-00","4180","C.T.P. DE PITAL","ALAJUELA","SAN CARLOS","10,44950795","-84,27228434","CAT 5","1","3/13/2025","IMPLEMENTADO","17303612(300Mbps-FO)"
"247","104752-00","5979","LICEO SAN NICOLÁS DE TOLENTINO","CARTAGO","CARTAGO","9,87528222","-83,93268307","CAT 4","","3/13/2025","IMPLEMENTADO","17326381(90Mbps-FO)"
"248","104054-00","3995","LICEO JOAQUÍN GUTIÉRREZ MANGEL","SAN JOSE","DESAMPARADOS","9,87503115","-84,0779381","CAT 4","15","3/14/2025","IMPLEMENTADO","17331561(60Mbps-FO), 17751191(20Mbps-ADSL), 17751195(10Mbps-ADSL), 17751204(10Mbps-ADSL)"
"249","104055-00","3996","LICEO DIURNO CIUDAD COLÓN","SAN JOSE","MORA","9,91805244","-84,23730369","CAT 4","","3/14/2025","IMPLEMENTADO","17330711(200Mbps-FO)"
"250","104104-00","4051","COLEGIO SAN LUIS GONZAGA","CARTAGO","CARTAGO","9,86289314","-83,92263097","CAT 5","","3/14/2025","IMPLEMENTADO","17686859(10Mbps-ADSL)"
"251","104202-00","4160","C.T.P. JOSÉ FIGUERES FERRER","SAN JOSE","DESAMPARADOS","9,73782009","-83,99602564","CAT 5","","3/14/2025","IMPLEMENTADO","17303022(500Mbps-FO)"
"252","104998-00","6527","C.T.P. MÁXIMO QUESADA","SAN JOSE","DESAMPARADOS","9,87412436","-84,03327256","CAT 5","0","3/14/2025","IMPLEMENTADO","17300617(300Mbps-FO)"
